'God Of War', 94, 91, 1131, 131
'Persona 5', 93, 87, 27, 30
'Red Dead Redemption 2', 97, 81, 29, 985
'NieR: Automata', 91, 85, 4, 39
'Grand Theft Auto V', 97, 83, 120, 6000
'The Witcher 3: Wild Hunt', 92, 92, 50, 175
'Fallout 76', 53, 28, 14, 25
'The Binding of Isaac: Rebirth', 12, 12, 12, 12
